Family	Seed	FSERIES	FCLONE	MSERIES	MCLONE	gf	growth	straight	branch	dr	wd	spiral	stiff
05-836	0.19	887	825	875	220	17.40	19.10	21.20	21.40	16.85	28.40	22.60	15.72
05-848	0.13	885	1	875	220	17.40	19.90	21.45	23.10	23.90	26.95	23.35	16.31
05-861	0.10	875	51	875	242	22.50	17.75	20.85	22.50	24.95	26.50	21.57	18.33
05-831	0.11	880	739	875	220	23.75	18.75	21.40	22.60	17.95	25.95	16.92	13.52
04-537	0.20	875	76	875	242	27.90	20.50	17.30	21.90	28.25	25.80	22.95	15.56
04-553	0.27	887	825	268	531	18.40	21.20	17.05	21.95	15.70	25.75	23.38	12.28
04-550	0.15	885	1	268	262	15.90	21.70	21.00	24.60	22.50	25.05	25.71	14.48
04-534	0.10	875	66	880	656	24.35	18.05	24.65	25.40	15.85	24.85	24.19	16.01
04-539	0.10	875	293	875	242	29.45	22.35	19.85	23.10	24.75	24.75	25.96	16.44
05-832	0.10	887	702	880	729	18.40	15.55	23.05	17.65	16.55	24.75	25.12	13.85
04-552	1.00	885	429	268	531	18.40	21.10	18.00	21.85	20.10	24.55	23.15	17.39
05-844	0.03	885	1	880	729	18.40	19.00	23.30	21.55	23.60	24.50	25.10	15.39
04-551	0.04	885	1	268	531	18.40	22.00	17.30	23.65	22.75	24.30	24.13	12.88
05-849	0.43	885	1	875	293	19.75	21.90	21.25	23.85	25.05	24.20	26.50	14.11
05-856	0.31	268	131	875	220	22.60	20.55	19.65	20.85	15.30	24.05	18.95	17.70
04-548	0.93	880	739	880	656	24.20	19.35	22.65	24.50	17.55	23.75	17.78	10.29
02-155	0.04	875	220	100	2	17.40	17.10	20.30	20.15	16.85	23.50	20.33	17.70
05-839	0.12	880	730	875	954	24.60	21.70	20.55	20.65	21.55	23.45	20.50	15.55
05-867	0.10	875	293	880	729	27.05	18.60	24.15	20.10	18.85	23.40	26.47	14.27
05-833	0.14	880	741	875	954	26.75	20.10	18.35	20.15	15.50	23.30	19.53	18.00
05-850	0.72	268	54	875	220	23.40	20.35	20.55	21.30	21.65	23.20	21.50	15.33
05-874	1.99	268	531	875	293	27.05	21.60	18.15	22.20	18.00	23.20	25.51	11.76
05-870	0.88	875	43	268	323	15.00	17.80	22.95	23.40	13.20	23.00	23.03	16.78
05-857	0.34	268	131	875	242	26.00	23.40	17.20	22.30	20.90	22.95	20.19	18.94
05-829	0.03	880	777	875	223	19.95	23.20	21.35	23.45	16.60	22.80	20.11	8.56
05-845	0.03	875	262	875	954	26.50	20.85	21.50	22.80	17.00	22.70	18.36	17.56
02-161	0.07	875	250	875	954	27.30	20.70	19.60	21.55	25.35	22.50	20.34	15.65
05-851	3.77	875	954	880	729	28.20	18.95	23.45	19.65	17.85	22.50	22.08	16.77
05-869	0.24	850	553	875	242	20.80	19.95	17.85	21.60	22.45	22.40	21.57	18.94
05-838	0.09	880	733	875	223	20.70	24.00	18.75	23.65	18.40	22.40	19.72	12.60
05-806	6.82	875	954	268	547	28.65	22.55	20.85	21.65	20.05	22.35	21.40	14.07
05-807	2.07	885	429	875	223	14.90	23.65	19.10	23.40	20.30	22.35	22.15	15.73
04-542	0.26	875	954	268	405	24.25	21.65	19.25	19.75	19.45	22.05	24.97	16.66
04-528	14.25	268	323	875	66	21.10	19.70	24.70	24.20	16.20	21.85	26.04	18.64
05-842	0.41	885	1	268	323	14.60	22.15	22.75	23.80	23.85	21.75	26.05	15.71
05-873	2.13	268	131	880	729	23.60	19.65	21.50	19.30	15.00	21.60	20.70	16.77
05-830	0.54	880	656	875	223	21.65	22.75	20.70	24.90	16.65	21.55	22.20	9.07
05-824	0.03	880	754	880	729	27.00	18.65	20.70	22.10	18.75	21.40	24.71	13.70
05-858	0.28	268	248	268	323	19.50	20.40	24.00	19.20	14.15	21.30	23.56	17.10
05-860	9.84	268	323	268	248	19.50	20.40	24.00	19.20	14.15	21.30	23.56	17.10
05-827	0.62	880	729	875	223	22.20	21.25	21.30	21.45	16.75	21.30	23.10	11.38
04-531	0.38	268	543	880	656	27.80	23.00	23.20	21.45	16.45	21.20	21.37	14.46
05-863	2.30	268	543	880	656	27.80	23.00	23.20	21.45	16.45	21.20	21.37	14.46
05-865	0.02	268	531	875	223	22.20	24.25	15.30	23.55	15.90	21.10	22.13	8.86
05-843	0.26	880	660	268	323	21.20	22.30	23.10	22.40	22.80	20.75	23.81	15.69
05-895	0.10	875	293	268	323	23.25	21.75	23.60	22.35	19.10	20.65	27.42	14.59
05-826	14.61	880	729	268	315	27.15	19.60	22.60	18.25	20.05	20.50	23.47	14.91
05-859	0.41	268	315	875	293	28.50	22.50	20.55	20.55	21.50	20.20	24.87	13.64
05-854	9.03	268	65	880	729	23.60	18.65	22.45	18.85	16.25	20.10	23.23	13.55
05-872	1.10	875	256	875	223	19.65	23.55	18.65	22.50	15.90	20.10	21.23	8.64
02-158	0.17	875	225	100	2	17.10	17.70	19.00	20.05	10.45	19.45	21.17	16.65
04-521	2.10	268	109	268	248	25.65	22.20	21.45	18.40	14.75	19.30	19.47	11.77
05-853	0.20	268	41	875	293	29.45	25.15	21.10	23.00	21.95	19.25	23.77	14.76
