Family,Block ,Tree,nbden,ngvel,nadvel,nlshr,nvshr,cbden,cgvel,cadvel,clshr,cvshr
05-867,2,1,399.38,1.35,2.35,0.96,13.34,,,,,
05-828,2,2,347.56,1.07,2.03,1.32,16.99,433.81,1.39,2.36,2.55,14.92
05-855,2,3,285.17,1.00,2.13,1.43,22.21,330.40,1.21,2.22,2.04,16.60
05-852,2,4,335.01,1.11,2.15,1.14,13.57,337.40,1.16,2.20,1.87,21.23
98-207,2,5,293.46,1.07,2.21,1.33,19.91,304.28,1.04,2.24,1.18,17.68
04-539,2,6,260.49,0.98,2.14,2.04,29.20,,1.15,2.11,2.43,
05-870,2,7,,,,,,364.32,,,,
05-852,2,8,322.97,1.17,2.37,,14.81,352.12,1.31,2.37,,17.47
04-539,2,9,338.39,0.97,1.88,1.13,16.55,418.58,1.39,2.37,2.45,15.44
05-859,2,10,271.19,0.99,2.19,1.39,25.38,,1.17,2.23,1.76,
05-829,2,11,247.70,0.83,1.80,3.05,36.41,279.07,1.02,1.97,2.10,18.43
05-867,2,12,,,,,,334.14,,,,
05-868,2,13,275.08,0.91,1.96,1.99,29.69,318.52,1.08,2.11,1.87,19.75
05-849,2,14,302.65,1.05,2.11,1.38,19.81,390.02,1.17,2.03,2.22,13.23
05-862,2,15,300.98,1.02,2.10,1.81,23.79,338.83,1.19,2.17,1.74,14.94
04-518,2,16,287.62,1.00,2.06,1.93,23.34,344.27,1.18,2.18,1.59,13.20
05-844,2,17,303.64,1.03,2.03,1.67,19.51,363.06,1.16,2.10,2.13,13.86
05-867,2,18,298.50,1.06,2.14,1.09,16.92,380.72,1.27,2.26,1.68,10.97
05-853,2,19,274.24,1.03,2.23,1.40,23.95,431.96,1.33,2.14,2.70,12.45
05-849,2,20,294.29,1.02,2.04,1.45,24.49,408.55,1.30,2.18,2.27,12.94
05-827,2,21,288.25,1.03,2.13,1.43,19.55,333.22,1.10,2.15,2.01,12.74
05-862,2,22,287.32,1.04,2.23,1.33,25.23,404.40,1.33,2.18,1.80,6.58
06-520,2,23,293.65,1.02,2.20,1.77,22.49,405.25,1.26,2.15,2.31,11.32
99-404,2,24,309.51,1.06,2.25,1.22,17.71,419.80,1.23,2.15,2.53,12.43
05-850,2,25,312.20,1.02,2.09,1.54,17.43,362.07,1.17,2.10,2.29,13.06
05-849,2,26,312.35,1.15,2.30,0.98,17.27,402.24,1.35,2.22,1.99,13.19
05-858,2,27,346.31,1.10,2.13,1.40,12.55,477.15,1.30,2.07,3.16,13.04
05-868,2,28,306.99,0.97,1.95,2.55,22.98,309.36,1.11,2.20,2.01,22.74
05-842,2,29,286.21,0.97,2.08,1.64,24.07,339.56,1.15,2.16,1.82,12.32
05-865,2,30,322.36,1.10,2.17,1.31,20.93,438.07,1.36,2.27,2.35,11.22
05-864,2,31,295.58,1.07,2.24,1.15,21.86,383.83,1.33,2.34,1.66,13.01
05-824,2,32,290.01,0.98,2.08,1.62,24.73,357.61,1.16,2.13,2.27,13.04
05-853,2,33,314.32,1.24,2.45,0.85,13.96,379.35,1.25,2.22,2.17,12.27
04-518,2,34,291.77,1.02,2.14,1.35,20.95,451.26,1.40,2.26,1.92,11.66
99-311,2,35,289.59,1.10,2.26,1.20,18.83,409.96,1.35,2.27,2.00,6.84
05-829,2,36,287.55,1.00,2.21,1.98,27.81,427.94,1.26,2.13,2.54,13.30
98-207,2,37,332.45,1.13,2.26,1.22,14.05,454.13,1.28,2.14,2.48,9.79
05-859,2,38,304.02,1.10,,,17.03,397.29,,,,
04-552,2,39,335.49,1.02,1.98,1.39,24.15,491.69,1.35,2.11,2.56,9.73
05-873,2,40,312.00,1.21,2.38,1.04,12.92,371.94,1.20,2.12,1.75,12.31
04-543,2,41,319.88,1.02,2.06,1.24,16.49,343.00,1.11,2.10,1.54,12.06
