tree.id,Mum,Dad
0-0,NA,NA
268-109,NA,NA
268-117,NA,NA
268-131,NA,NA
268-248,NA,NA
268-315,NA,NA
268-323,NA,NA
268-405,NA,NA
268-41,NA,NA
268-514,NA,NA
268-531,NA,NA
268-532,NA,NA
268-539,NA,NA
268-54,NA,NA
268-543,NA,NA
268-545,NA,NA
268-65,NA,NA
850-55,NA,NA
850-553,NA,NA
875-220,NA,NA
875-225,NA,NA
875-250,NA,NA
875-256,NA,NA
875-262,NA,NA
875-293,NA,NA
875-43,NA,NA
875-51,NA,NA
875-65,NA,NA
875-66,NA,NA
875-76,NA,NA
875-954,NA,NA
880-656,NA,NA
880-660,NA,NA
880-692,NA,NA
880-729,NA,NA
880-730,NA,NA
880-733,NA,NA
880-739,NA,NA
880-741,NA,NA
880-754,NA,NA
880-777,NA,NA
885-1,NA,NA
885-429,NA,NA
887-702,NA,NA
887-825,NA,NA
268-262,NA,NA
875-066,NA,NA
0-2,NA,NA
100-2,NA,NA
103-2,NA,NA
103-3,NA,NA
199-1,NA,NA
199-999,NA,NA
20-20,NA,NA
23-23,NA,NA
268-547,NA,NA
268-556,NA,NA
268-62,NA,NA
870-613,NA,NA
875-223,NA,NA
875-242,NA,NA
880-728,NA,NA
886-729,NA,NA
998-1,NA,NA
999-1,NA,NA
875-076,NA,NA
10001,875-293,880-729
10243,875-293,880-729
10355,875-293,880-729
10169,875-293,880-729
10018,875-293,880-729
10098,875-293,880-729
10374,875-293,880-729
10012,875-293,880-729
10200,875-293,880-729
10111,875-293,880-729
10198,875-293,880-729
10464,875-293,880-729
10258,875-65,268-315
10426,875-65,268-315
10216,875-65,268-315
10002,875-65,268-315
10102,875-65,268-315
10093,875-65,268-315
10369,875-65,268-315
10060,875-65,268-315
10387,875-65,268-315
10424,875-65,268-315
10529,875-65,268-315
10149,875-65,268-315
10323,875-65,268-315
10174,875-65,268-315
10429,875-65,268-315
10139,875-65,268-315
10155,875-65,268-315
10202,268-117,268-323
10303,268-117,268-323
10460,268-117,268-323
10267,268-117,268-323
10306,268-117,268-323
10240,268-117,268-323
10307,268-117,268-323
10003,268-117,268-323
10271,268-117,268-323
10180,268-117,268-323
10085,268-117,268-323
10232,268-117,268-323
10008,268-65,268-315
10348,268-65,268-315
10514,268-65,268-315
10419,268-65,268-315
10004,268-65,268-315
10221,268-65,268-315
10334,268-65,268-315
10490,268-65,268-315
10484,268-65,268-315
10465,268-65,268-315
10247,268-65,268-315
10394,268-65,268-315
10338,268-54,268-62
10331,268-54,268-62
10188,268-54,268-62
10166,268-54,268-62
10082,268-54,268-62
10461,268-54,268-62
10005,268-54,268-62
10397,268-54,268-62
10104,268-54,268-62
